[34m[1mwandb[0m: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
/Users/eating/Library/Python/3.9/lib/python/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
Episode 2980, Average Reward: 3547.14, Entropy: -1.3792
Episode 2990, Average Reward: 3681.19, Entropy: -1.3803
Episode 3000, Average Reward: 3682.55, Entropy: -1.3832
Models saved at episode 3000
Episode 3010, Average Reward: 3714.03, Entropy: -1.3850
Episode 3020, Average Reward: 3562.59, Entropy: -1.3870
Episode 3030, Average Reward: 3561.04, Entropy: -1.3883
Episode 3040, Average Reward: 3603.29, Entropy: -1.3896
Episode 3050, Average Reward: 3684.46, Entropy: -1.3917
Episode 3060, Average Reward: 3610.76, Entropy: -1.3940
Episode 3070, Average Reward: 3742.53, Entropy: -1.3953
Episode 3080, Average Reward: 3884.74, Entropy: -1.3975
Episode 3090, Average Reward: 3953.18, Entropy: -1.3993
Episode 3100, Average Reward: 3883.66, Entropy: -1.3990
Episode 3110, Average Reward: 3981.47, Entropy: -1.3994
Episode 3120, Average Reward: 3792.81, Entropy: -1.4001
Episode 3130, Average Reward: 3861.28, Entropy: -1.4022
Episode 3140, Average Reward: 3759.82, Entropy: -1.4029
Episode 3150, Average Reward: 3903.77, Entropy: -1.4065
Episode 3160, Average Reward: 3863.77, Entropy: -1.4113
Episode 3170, Average Reward: 4034.56, Entropy: -1.4140
Episode 3180, Average Reward: 3927.38, Entropy: -1.4171
Episode 3190, Average Reward: 4030.70, Entropy: -1.4199
Episode 3200, Average Reward: 4017.79, Entropy: -1.4232
Episode 3210, Average Reward: 3944.63, Entropy: -1.4258
Episode 3220, Average Reward: 4005.55, Entropy: -1.4291
Episode 3230, Average Reward: 3958.38, Entropy: -1.4328
Episode 3240, Average Reward: 3941.52, Entropy: -1.4351
Episode 3250, Average Reward: 3948.33, Entropy: -1.4369
Episode 3260, Average Reward: 3950.90, Entropy: -1.4380
Episode 3270, Average Reward: 4028.45, Entropy: -1.4395
Episode 3280, Average Reward: 4063.51, Entropy: -1.4426
Episode 3290, Average Reward: 4059.86, Entropy: -1.4480
Episode 3300, Average Reward: 3987.10, Entropy: -1.4488
Episode 3310, Average Reward: 4084.54, Entropy: -1.4504
Episode 3320, Average Reward: 4101.01, Entropy: -1.4518
Episode 3330, Average Reward: 3944.34, Entropy: -1.4533
Episode 3340, Average Reward: 3981.20, Entropy: -1.4529
Episode 3350, Average Reward: 3924.99, Entropy: -1.4535
Episode 3360, Average Reward: 4021.42, Entropy: -1.4550
Episode 3370, Average Reward: 3983.28, Entropy: -1.4574
Episode 3380, Average Reward: 3902.79, Entropy: -1.4608
Episode 3390, Average Reward: 3937.48, Entropy: -1.4646
Episode 3400, Average Reward: 4029.60, Entropy: -1.4676
Episode 3410, Average Reward: 3820.58, Entropy: -1.4686
Episode 3420, Average Reward: 3903.92, Entropy: -1.4707
Episode 3430, Average Reward: 3873.31, Entropy: -1.4731
Episode 3440, Average Reward: 3882.19, Entropy: -1.4763
Episode 3450, Average Reward: 3870.85, Entropy: -1.4774
Episode 3460, Average Reward: 3761.68, Entropy: -1.4780
Episode 3470, Average Reward: 3687.06, Entropy: -1.4804
Episode 3480, Average Reward: 3723.97, Entropy: -1.4812
Episode 3490, Average Reward: 3766.06, Entropy: -1.4833
Episode 3500, Average Reward: 3823.17, Entropy: -1.4853
Models saved at episode 3500
Episode 3510, Average Reward: 3846.78, Entropy: -1.4890
Episode 3520, Average Reward: 3871.38, Entropy: -1.4906
Episode 3530, Average Reward: 3949.04, Entropy: -1.4911
Episode 3540, Average Reward: 3894.81, Entropy: -1.4927
Episode 3550, Average Reward: 3974.95, Entropy: -1.4942
Episode 3560, Average Reward: 3934.66, Entropy: -1.4970
Episode 3570, Average Reward: 3915.21, Entropy: -1.4991
Episode 3580, Average Reward: 3893.65, Entropy: -1.5020
Episode 3590, Average Reward: 3784.06, Entropy: -1.5063
Episode 3600, Average Reward: 3840.41, Entropy: -1.5100
Episode 3610, Average Reward: 3891.13, Entropy: -1.5116
Episode 3620, Average Reward: 3853.84, Entropy: -1.5146
Episode 3630, Average Reward: 3955.22, Entropy: -1.5174
Episode 3640, Average Reward: 3952.69, Entropy: -1.5172
Episode 3650, Average Reward: 3974.27, Entropy: -1.5190
Episode 3660, Average Reward: 3949.05, Entropy: -1.5231
Episode 3670, Average Reward: 3914.08, Entropy: -1.5270
Episode 3680, Average Reward: 3996.52, Entropy: -1.5289
Episode 3690, Average Reward: 3993.81, Entropy: -1.5307
Episode 3700, Average Reward: 3987.85, Entropy: -1.5320
Episode 3710, Average Reward: 3934.24, Entropy: -1.5318
Episode 3720, Average Reward: 3899.66, Entropy: -1.5320
Episode 3730, Average Reward: 3829.66, Entropy: -1.5336
Episode 3740, Average Reward: 3819.10, Entropy: -1.5338
Episode 3750, Average Reward: 3866.40, Entropy: -1.5361
Episode 3760, Average Reward: 3822.04, Entropy: -1.5374
Episode 3770, Average Reward: 3828.21, Entropy: -1.5412
Episode 3780, Average Reward: 3857.27, Entropy: -1.5437
Episode 3790, Average Reward: 3817.79, Entropy: -1.5442
Episode 3800, Average Reward: 3767.42, Entropy: -1.5447
Episode 3810, Average Reward: 3938.91, Entropy: -1.5465
Episode 3820, Average Reward: 3839.57, Entropy: -1.5495
Episode 3830, Average Reward: 3797.24, Entropy: -1.5503
Episode 3840, Average Reward: 3833.65, Entropy: -1.5529
Episode 3850, Average Reward: 3752.27, Entropy: -1.5555
Episode 3860, Average Reward: 3831.38, Entropy: -1.5571
Episode 3870, Average Reward: 3691.99, Entropy: -1.5598
Episode 3880, Average Reward: 3913.49, Entropy: -1.5620
Episode 3890, Average Reward: 3750.12, Entropy: -1.5647
Episode 3900, Average Reward: 3792.22, Entropy: -1.5659
Episode 3910, Average Reward: 3830.98, Entropy: -1.5678
Episode 3920, Average Reward: 3883.84, Entropy: -1.5690
Episode 3930, Average Reward: 3854.92, Entropy: -1.5702
Episode 3940, Average Reward: 3831.03, Entropy: -1.5710
Episode 3950, Average Reward: 3872.00, Entropy: -1.5742
Episode 3960, Average Reward: 3728.80, Entropy: -1.5778
Episode 3970, Average Reward: 3788.00, Entropy: -1.5800
Episode 3980, Average Reward: 3728.07, Entropy: -1.5837
Episode 3990, Average Reward: 3835.76, Entropy: -1.5882
Episode 4000, Average Reward: 3842.65, Entropy: -1.5911
Models saved at episode 4000
Episode 4010, Average Reward: 3752.30, Entropy: -1.5934
